	F3W.2.Ce.022	F2F.3.Ce.021	F2W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F2F.2.Ce.021	F2W.2.Ca.022	F3W.2.Ce.021	F2F.2.Ce.022	F1W.2.Ce.022	F1C.3.Dr.021	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.021	F1W.2.Ce.021	F2F.3.Ce.022	F1F.3.Ca.021	F2W.2.Ce.021	F1C.3.Ca.021
F3W.2.Ce.022	0.0	0.815361537435	0.705236413175	0.749082951354	0.776241382101	0.850216966774	0.731266150468	0.790183172873	0.863339366037	0.769650026645	0.813007150041	0.803139580655	0.790833977103	0.766967111384	0.810255932672	0.872260306845	0.820582972064	0.821041205449	0.802624352267
F2F.3.Ce.021	0.815361537435	0.0	0.815407509216	0.782588389835	0.792883892295	0.657526595522	0.786036097961	0.800435817658	0.710317565699	0.794694773847	0.736426620441	0.767572102145	0.858677582519	0.749161102994	0.86063631897	0.933257356782	0.778046725942	0.780703635344	0.834522307398
F2W.2.Ce.022	0.705236413175	0.815407509216	0.0	0.736076565035	0.751040389833	0.840020346498	0.717950653952	0.785561937975	0.859979449623	0.755142496087	0.792913011719	0.786031087401	0.823666053899	0.751804799825	0.830052732266	0.872656651441	0.787565887802	0.830459036801	0.775928538341
F1C.3.Dr.022	0.749082951354	0.782588389835	0.736076565035	0.0	0.701301974393	0.807544325981	0.751884964936	0.801751539197	0.821396162209	0.690606933127	0.766958721849	0.696497324677	0.852648120834	0.789680039104	0.852636893464	0.923901088804	0.822175889221	0.827202699916	0.823825914701
F1F.3.Ca.022	0.776241382101	0.792883892295	0.751040389833	0.701301974393	0.0	0.792060585153	0.744921587561	0.822598047506	0.814153199347	0.680458197854	0.785603248544	0.677905224582	0.870006425201	0.779643682199	0.880223317425	0.927497899112	0.814058186537	0.825930042949	0.846590055484
F2F.2.Ce.021	0.850216966774	0.657526595522	0.840020346498	0.807544325981	0.792060585153	0.0	0.796390908237	0.829971957702	0.66174258656	0.814067222669	0.753674806621	0.7793588247	0.872895906999	0.770765267349	0.890106869592	0.94562305494	0.815864963846	0.82182054253	0.847541529115
F2W.2.Ca.022	0.731266150468	0.786036097961	0.717950653952	0.751884964936	0.744921587561	0.796390908237	0.0	0.768870482383	0.827288562575	0.763174522783	0.790417334081	0.79208018727	0.803450222044	0.756504074301	0.843364817917	0.873617277021	0.794219011051	0.839931401061	0.800332043319
F3W.2.Ce.021	0.790183172873	0.800435817658	0.785561937975	0.801751539197	0.822598047506	0.829971957702	0.768870482383	0.0	0.864052737456	0.794276845761	0.792046887244	0.827702331716	0.79686461178	0.746002150978	0.736434453324	0.87779204617	0.802614196574	0.740913780023	0.727109342337
F2F.2.Ce.022	0.863339366037	0.710317565699	0.859979449623	0.821396162209	0.814153199347	0.66174258656	0.827288562575	0.864052737456	0.0	0.821707364131	0.792398704645	0.794904855015	0.903128922781	0.826980663731	0.922832611394	0.959929573763	0.83051761744	0.856753863965	0.886400064387
F1W.2.Ce.022	0.769650026645	0.794694773847	0.755142496087	0.690606933127	0.680458197854	0.814067222669	0.763174522783	0.794276845761	0.821707364131	0.0	0.795132486194	0.672297601315	0.859170162572	0.792605645173	0.875880173661	0.922581864406	0.813144438907	0.817768155936	0.839022533359
