	F3W.2.Ce.021	F2W.2.Ca.021	F2F.2.Ce.021	F2F.2.Ce.022	F1C.3.Dr.021	F1W.2.Ce.021	F1C.3.Dr.022	F2F.3.Ce.022	F2F.3.Ce.021	F1F.3.Ca.021	F1F.3.Ca.022	F3W.2.Ce.022	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.022	F1W.2.Ce.022	F2W.2.Ce.022	F2W.2.Ce.021	F1C.3.Ca.021
F3W.2.Ce.021	0.0	0.707159835131	0.821558772086	0.880201300782	0.677807106427	0.732355455589	0.899578440102	0.88250142448	0.786913756126	0.697330452418	0.852095762668	0.825772732728	0.845792848421	0.7152735313	0.814151359406	0.82456374376	0.817881333827	0.692992997365	0.810652721463
F2W.2.Ca.021	0.707159835131	0.0	0.774761512855	0.839967148498	0.713915230204	0.753773966516	0.881333180369	0.850471301203	0.7638366311	0.683686772993	0.82622732561	0.830686482753	0.853451480082	0.696376392987	0.775210692814	0.827423412316	0.796751063571	0.723868922303	0.816552584206
F2F.2.Ce.021	0.821558772086	0.774761512855	0.0	0.674981016333	0.77732463221	0.867835544685	0.817494056719	0.669413275226	0.649084700234	0.802574309128	0.823107907982	0.876363711873	0.837642850943	0.836621568077	0.816034999475	0.814815853248	0.829249708583	0.827013894171	0.79495635277
F2F.2.Ce.022	0.880201300782	0.839967148498	0.674981016333	0.0	0.843749402388	0.921409754631	0.829591422303	0.634866571522	0.710739012468	0.868596615466	0.833094206917	0.880976621824	0.83787826652	0.892896671556	0.804096944733	0.812328365969	0.843994740104	0.882944707846	0.843507568325
F1C.3.Dr.021	0.677807106427	0.713915230204	0.77732463221	0.843749402388	0.0	0.76235971483	0.87593325086	0.851460038	0.736905080129	0.704981054703	0.834531139934	0.839275939863	0.839064965855	0.71103973297	0.806436041542	0.822749722654	0.807995850493	0.69883848616	0.802926661494
F1W.2.Ce.021	0.732355455589	0.753773966516	0.867835544685	0.921409754631	0.76235971483	0.0	0.919895193274	0.922430774758	0.859117168611	0.736095958403	0.87130164772	0.87445966247	0.874736300059	0.720868650375	0.861384315331	0.860326889788	0.850021679352	0.712329120896	0.808985033388
F1C.3.Dr.022	0.899578440102	0.881333180369	0.817494056719	0.829591422303	0.87593325086	0.919895193274	0.0	0.821690680101	0.830020210558	0.882937522079	0.755102631646	0.89355672754	0.750225868915	0.900102813458	0.852361409291	0.763423089892	0.862956613915	0.888917676412	0.846085034148
F2F.3.Ce.022	0.88250142448	0.850471301203	0.669413275226	0.634866571522	0.851460038	0.922430774758	0.821690680101	0.0	0.717157459619	0.875059427077	0.837437315336	0.891745811337	0.838590766119	0.894832973113	0.832332136033	0.826834972589	0.85646547315	0.889714879487	0.85065905081
F2F.3.Ce.021	0.786913756126	0.7638366311	0.649084700234	0.710739012468	0.736905080129	0.859117168611	0.830020210558	0.717157459619	0.0	0.779573556182	0.833007294788	0.868857058144	0.83594799048	0.814967760793	0.801715889568	0.814656775946	0.829176405069	0.800852211389	0.794073876466
F1F.3.Ca.021	0.697330452418	0.683686772993	0.802574309128	0.868596615466	0.704981054703	0.736095958403	0.882937522079	0.875059427077	0.779573556182	0.0	0.837889119994	0.830135607381	0.853738168883	0.697969830127	0.815745525532	0.836019349815	0.794412342826	0.69702697387	0.813095504292
