	F3W.2.Ce.021	F2W.2.Ca.021	F2F.2.Ce.021	F2F.2.Ce.022	F1C.3.Dr.021	F1W.2.Ce.021	F1C.3.Dr.022	F2F.3.Ce.022	F2F.3.Ce.021	F1F.3.Ca.021	F1F.3.Ca.022	F3W.2.Ce.022	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.022	F1W.2.Ce.022	F2W.2.Ce.022	F2W.2.Ce.021	F1C.3.Ca.021
F3W.2.Ce.021	0.0	0.27188281	0.563096644	0.581124258	0.276136788	0.33057024	0.607300362	0.584307364	0.431065854	0.286101108	0.616088244	0.567816506	0.574631928	0.424442454	0.525606772	0.57206332	0.582287006	0.316837864	0.504375598
F2W.2.Ca.021	0.27188281	0.0	0.486034358	0.51615464	0.38130947	0.427581482	0.595888884	0.519967558	0.379411228	0.325568902	0.602561014	0.537333092	0.561110606	0.447322132	0.425728034	0.55496583	0.567903992	0.371458702	0.492850028
F2F.2.Ce.021	0.563096644	0.486034358	0.0	0.34907711	0.560328892	0.670060212	0.605710358	0.312131668	0.338212294	0.541455088	0.656678296	0.658397586	0.60717386	0.456487686	0.516451196	0.622893872	0.623572014	0.56890546	0.528480454
F2F.2.Ce.022	0.581124258	0.51615464	0.34907711	0.0	0.572289894	0.671722738	0.58430378	0.173685358	0.343735324	0.544912898	0.645855322	0.625659944	0.58880223	0.627785528	0.489289614	0.603490766	0.592818872	0.574581838	0.5560705
F1C.3.Dr.021	0.276136788	0.38130947	0.560328892	0.572289894	0.0	0.35466796	0.641100746	0.568163684	0.38806835	0.265366776	0.664494936	0.635194874	0.624815752	0.435826006	0.573838336	0.625066864	0.612564574	0.30706038	0.540178242
F1W.2.Ce.021	0.33057024	0.427581482	0.670060212	0.671722738	0.35466796	0.0	0.683674306	0.675136	0.554792014	0.32473584	0.69453748	0.657052314	0.66868338	0.500109774	0.623346088	0.652422356	0.665795594	0.432669096	0.549458022
F1C.3.Dr.022	0.607300362	0.595888884	0.605710358	0.58430378	0.641100746	0.683674306	0.0	0.583942858	0.587860016	0.60410427	0.225793138	0.500027516	0.192464326	0.652238624	0.481748034	0.257418438	0.336506968	0.621074138	0.586175648
F2F.3.Ce.022	0.584307364	0.519967558	0.312131668	0.173685358	0.568163684	0.675136	0.583942858	0.0	0.33990409	0.546676036	0.643590252	0.616609874	0.584920276	0.582716254	0.485817444	0.604485452	0.582402806	0.579116548	0.570481294
F2F.3.Ce.021	0.431065854	0.379411228	0.338212294	0.343735324	0.38806835	0.554792014	0.587860016	0.33990409	0.0	0.415678826	0.624765562	0.615517188	0.57366319	0.508067576	0.473720302	0.570122618	0.587734096	0.417803818	0.483883424
F1F.3.Ca.021	0.286101108	0.325568902	0.541455088	0.544912898	0.265366776	0.32473584	0.60410427	0.546676036	0.415678826	0.0	0.61767788	0.611400806	0.587246252	0.429373502	0.553794448	0.58190756	0.585952538	0.323684028	0.529276546
F1F.3.Ca.022	0.616088244	0.602561014	0.656678296	0.645855322	0.664494936	0.69453748	0.225793138	0.643590252	0.624765562	0.61767788	0.0	0.413863346	0.21443504	0.688894702	0.45738782	0.223455204	0.262825454	0.65912032	0.652878526
F3W.2.Ce.022	0.567816506	0.537333092	0.658397586	0.625659944	0.635194874	0.657052314	0.500027516	0.616609874	0.615517188	0.611400806	0.413863346	0.0	0.410182398	0.667498784	0.315244942	0.363137262	0.2873243	0.643681542	0.639241548
F1W.3.Dr.022	0.574631928	0.561110606	0.60717386	0.58880223	0.624815752	0.66868338	0.192464326	0.584920276	0.57366319	0.587246252	0.21443504	0.410182398	0.0	0.617999058	0.419861048	0.199402404	0.261340434	0.602797804	0.598054318
F1W.3.Dr.021	0.424442454	0.447322132	0.456487686	0.627785528	0.435826006	0.500109774	0.652238624	0.582716254	0.508067576	0.429373502	0.688894702	0.667498784	0.617999058	0.0	0.636013062	0.632883934	0.656451572	0.426358698	0.6026731
F2W.2.Ca.022	0.525606772	0.425728034	0.516451196	0.489289614	0.573838336	0.623346088	0.481748034	0.485817444	0.473720302	0.553794448	0.45738782	0.315244942	0.419861048	0.636013062	0.0	0.388239392	0.401632038	0.628952452	0.58036199
F1W.2.Ce.022	0.57206332	0.55496583	0.622893872	0.603490766	0.625066864	0.652422356	0.257418438	0.604485452	0.570122618	0.58190756	0.223455204	0.363137262	0.199402404	0.632883934	0.388239392	0.0	0.260258954	0.608955716	0.607225234
F2W.2.Ce.022	0.582287006	0.567903992	0.623572014	0.592818872	0.612564574	0.665795594	0.336506968	0.582402806	0.587734096	0.585952538	0.262825454	0.2873243	0.261340434	0.656451572	0.401632038	0.260258954	0.0	0.627292066	0.618837964
F2W.2.Ce.021	0.316837864	0.371458702	0.56890546	0.574581838	0.30706038	0.432669096	0.621074138	0.579116548	0.417803818	0.323684028	0.65912032	0.643681542	0.602797804	0.426358698	0.628952452	0.608955716	0.627292066	0.0	0.563484074
F1C.3.Ca.021	0.504375598	0.492850028	0.528480454	0.5560705	0.540178242	0.549458022	0.586175648	0.570481294	0.483883424	0.529276546	0.652878526	0.639241548	0.598054318	0.6026731	0.58036199	0.607225234	0.618837964	0.563484074	0.0
