	F3W.2.Ce.022	F2F.3.Ce.021	F2W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F2F.2.Ce.021	F2W.2.Ca.022	F3W.2.Ce.021	F2F.2.Ce.022	F1W.2.Ce.022	F1C.3.Dr.021	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.021	F1W.2.Ce.021	F2F.3.Ce.022	F1F.3.Ca.021	F2W.2.Ce.021	F1C.3.Ca.021	F1C.3.Ca.022
F3W.2.Ce.022	0.0	0.491478583458	0.322839258739	0.329299096396	0.307124783285	0.577382629608	0.115421321646	0.549534407068	0.536428659	0.348844941543	0.489469916057	0.373236748883	0.599918637033	0.591151555025	0.650066708274	0.400747526393	0.354507859543	0.660010477309	0.711511730291	0.782193479385
F2F.3.Ce.021	0.491478583458	0.0	0.476744381629	0.47232689249	0.495191124061	0.45698507324	0.46673094427	0.136909054978	0.442337585157	0.488330275877	0.313359763524	0.518400609014	0.485624599499	0.274758168794	0.351739074999	0.506584247756	0.43323800981	0.276445075344	0.388360428992	0.478482851952
F2W.2.Ce.022	0.322839258739	0.476744381629	0.0	0.0868983135175	0.141450667464	0.489988646773	0.33451796148	0.563251364976	0.375447883144	0.115177802307	0.459962230789	0.171643897999	0.562199222522	0.582417034573	0.650534364809	0.360672927346	0.295529603697	0.649999640146	0.705485298075	0.779392213952
F1C.3.Dr.022	0.329299096396	0.47232689249	0.0868983135175	0.0	0.111259485407	0.489255288579	0.348342812412	0.544782222054	0.393816991426	0.085205866453	0.460863678442	0.138087882466	0.556352122097	0.58717767713	0.650555637085	0.347874457155	0.260140174699	0.651412623846	0.705352975428	0.777967428394
F1F.3.Ca.022	0.307124783285	0.495191124061	0.141450667464	0.111259485407	0.0	0.510901876595	0.343494996561	0.567669464713	0.410206495723	0.0894442182996	0.519879264366	0.104203686989	0.583570382929	0.62530616369	0.687627187771	0.380953757876	0.29952170866	0.688484027034	0.743881583798	0.814425497309
F2F.2.Ce.021	0.577382629608	0.45698507324	0.489988646773	0.489255288579	0.510901876595	0.0	0.545660088053	0.525434175889	0.270261546781	0.507350771888	0.535856114587	0.525116145988	0.128303092537	0.666722014707	0.722253475583	0.498188652815	0.451130161685	0.646840261619	0.759497409486	0.823739711704
F2W.2.Ca.022	0.115421321646	0.46673094427	0.33451796148	0.348342812412	0.343494996561	0.545660088053	0.0	0.556810036402	0.47261726013	0.385733767011	0.451285575112	0.413092562748	0.598215228196	0.591398222631	0.666309304578	0.410614138574	0.394570079441	0.667307764505	0.721589051888	0.796272042564
F3W.2.Ce.021	0.549534407068	0.136909054978	0.563251364976	0.544782222054	0.567669464713	0.525434175889	0.556810036402	0.0	0.515573431478	0.572146102207	0.346543242574	0.605427702392	0.499520926668	0.206772994957	0.243156276464	0.498191540759	0.466279994097	0.177115253778	0.317168032791	0.383831172561
F2F.2.Ce.022	0.536428659	0.442337585157	0.375447883144	0.393816991426	0.410206495723	0.270261546781	0.47261726013	0.515573431478	0.0	0.413292051772	0.445565380936	0.44176855201	0.334699049603	0.647197129086	0.706861941396	0.419232121305	0.40486558518	0.631475871514	0.750887515329	0.82066678302
F1W.2.Ce.022	0.348844941543	0.488330275877	0.115177802307	0.085205866453	0.0894442182996	0.507350771888	0.385733767011	0.572146102207	0.413292051772	0.0	0.517194497414	0.0674061907654	0.585782470756	0.632441203901	0.694393720295	0.408060558055	0.319084800946	0.691473952767	0.747730107277	0.817343943053
