	F3W.2.Ce.022	F2F.3.Ce.021	F2W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F2F.2.Ce.021	F2W.2.Ca.022	F3W.2.Ce.021	F2F.2.Ce.022	F1W.2.Ce.022	F1C.3.Dr.021	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.021	F1W.2.Ce.021	F2F.3.Ce.022	F1F.3.Ca.021	F2W.2.Ce.021	F1C.3.Ca.021	F1C.3.Ca.022
F3W.2.Ce.022	0.0	0.156357441536	0.0128104629632	0.00786507149232	0.0164225718925	0.304741624077	0.0878663278099	0.311917299055	0.141154686536	0.0663780626013	0.359894619092	0.0429896170587	0.307289246812	0.236570130608	0.680303289702	0.841951605459	0.50203339153	0.443386095158	0.227687766209	0.851277534421
F2F.3.Ce.021	0.156357441536	0.0	0.144233648237	0.149174023024	0.140016003304	0.187449523263	0.0762973092637	0.318493481144	0.0188594402222	0.206878839502	0.258856602276	0.183813432451	0.174502893261	0.209065892494	0.613308703061	0.821157961019	0.541413829514	0.340745294534	0.0925933110308	0.819928436923
F2W.2.Ce.022	0.0128104629632	0.144233648237	0.0	0.00498603701234	0.0140983945073	0.292617830778	0.0846115371791	0.299306238688	0.128922374168	0.0632241997332	0.368125032265	0.039945606869	0.294676860078	0.223937476279	0.674319471017	0.843885461821	0.508499819318	0.438952557947	0.223810962307	0.853081131603
F1C.3.Dr.022	0.00786507149232	0.149174023024	0.00498603701234	0.0	0.00920348840226	0.297558205565	0.0800245053121	0.304248029351	0.13390696984	0.0585299954445	0.364987834171	0.0351347530357	0.299618650741	0.228879266942	0.672702032979	0.843103168411	0.506059568463	0.436167011668	0.219956148886	0.852351483543
F1F.3.Ca.022	0.0164225718925	0.140016003304	0.0140983945073	0.00920348840226	0.0	0.288400185845	0.0884914891078	0.295575860823	0.141304011151	0.0671948037125	0.355784345769	0.0440148791458	0.29094780858	0.220228692375	0.66388071781	0.844547166581	0.496856080061	0.426963523266	0.211265194316	0.843478441321
F2F.2.Ce.021	0.304741624077	0.187449523263	0.292617830778	0.297558205565	0.288400185845	0.0	0.251784364299	0.37396574409	0.188925736702	0.355263022043	0.314848338241	0.332197614991	0.22428382392	0.124705783728	0.533231028595	0.784122592777	0.455043737509	0.204224032968	0.136343392853	0.782638453613
F2W.2.Ca.022	0.0878663278099	0.0762973092637	0.0846115371791	0.0800245053121	0.0884914891078	0.251784364299	0.0	0.370808411665	0.0750038585119	0.138554500757	0.310303149828	0.115159258348	0.239609466759	0.162809081047	0.644507636073	0.829455423003	0.574483490517	0.387611990759	0.152760907367	0.839632611765
F3W.2.Ce.021	0.311917299055	0.318493481144	0.299306238688	0.304248029351	0.295575860823	0.37396574409	0.370808411665	0.0	0.333368885972	0.323284166682	0.156998474649	0.338897366186	0.362172099986	0.432327100576	0.528509362424	0.781938854968	0.348579802655	0.487993460683	0.280651523072	0.780439702789
F2F.2.Ce.022	0.141154686536	0.0188594402222	0.128922374168	0.13390696984	0.141304011151	0.188925736702	0.0750038585119	0.333368885972	0.0	0.192128297346	0.275466160987	0.168856433748	0.191845621799	0.225077266865	0.626837501146	0.820891240025	0.554498092464	0.356643108391	0.110647965991	0.831661376162
F1W.2.Ce.022	0.0663780626013	0.206878839502	0.0632241997332	0.0585299954445	0.0671948037125	0.355263022043	0.138554500757	0.323284166682	0.192128297346	0.0	0.422979149481	0.0242471604014	0.357340005009	0.286600621209	0.700580939757	0.875321026642	0.564050883774	0.45842472847	0.277964166634	0.875880013063
