	F2F.2.Ce.021	F1C.3.Ca.021	F2F.3.Ce.021	F1C.3.Dr.021	F2W.2.Ce.021	F3W.2.Ce.021	F2W.2.Ca.021	F1F.3.Ca.021	F1W.2.Ce.021	F1W.3.Dr.021	F2F.3.Ce.022	F2F.2.Ce.022	F3W.2.Ce.022	F2W.2.Ca.022	F2W.2.Ce.022	F1W.3.Dr.022	F1W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F1C.3.Ca.022
F2F.2.Ce.021	0.0	0.703133384145	0.465969176845	0.659844033913	0.800057509973	0.722420427194	0.658073513533	0.726170225661	0.859811565111	0.753846283493	0.447551457191	0.450085146583	0.792918339976	0.683568884186	0.715173686187	0.74636825091	0.753810651155	0.694454804903	0.724323908766	0.735835892456
F1C.3.Ca.021	0.703133384145	0.0	0.701271154988	0.66370216223	0.719092715022	0.71804269591	0.645901121941	0.704529345553	0.72305562374	0.632398774446	0.708439644678	0.687908249935	0.789434711321	0.693708879707	0.714121057099	0.669386537509	0.679230400652	0.638439157523	0.691596518798	0.736418299256
F2F.3.Ce.021	0.465969176845	0.701271154988	0.0	0.623946999553	0.762000276612	0.715235956566	0.658116409808	0.750120963649	0.83597836055	0.738937882851	0.455718617887	0.515051756718	0.800597441021	0.688684328152	0.736379293818	0.745604219447	0.720186591841	0.695394516335	0.706877110657	0.718224544983
F1C.3.Dr.021	0.659844033913	0.66370216223	0.623946999553	0.0	0.608060689606	0.536291410911	0.536477133754	0.616752775303	0.701887539359	0.559689844452	0.610110600929	0.662888017545	0.7061365979	0.627798183339	0.63693851666	0.669971811755	0.687583643754	0.688460892247	0.68304060032	0.698094396472
F2W.2.Ce.021	0.800057509973	0.719092715022	0.762000276612	0.608060689606	0.0	0.580961357379	0.59308244559	0.559225796897	0.661867703007	0.558809253878	0.775636284698	0.780592893484	0.746562710068	0.715413635458	0.716302757257	0.752352548252	0.723052262991	0.771818692162	0.734727021776	0.733634174914
F3W.2.Ce.021	0.722420427194	0.71804269591	0.715235956566	0.536291410911	0.580961357379	0.0	0.558501034354	0.579301281559	0.650123829269	0.627258413448	0.747824266018	0.761096302729	0.643872646109	0.644194637165	0.618607493493	0.7123423969	0.722947821398	0.761469224026	0.700558488172	0.724945232022
F2W.2.Ca.021	0.658073513533	0.645901121941	0.658116409808	0.536477133754	0.59308244559	0.558501034354	0.0	0.604197235897	0.723922906997	0.578593689901	0.633657855625	0.646253296116	0.686215452495	0.596384360544	0.621317648444	0.702608244722	0.671670553897	0.680999067353	0.632365540454	0.700733649545
F1F.3.Ca.021	0.726170225661	0.704529345553	0.750120963649	0.616752775303	0.559225796897	0.579301281559	0.604197235897	0.0	0.614447993546	0.639582881441	0.75958487433	0.743725994401	0.714860277427	0.687464945143	0.639677315458	0.763450294519	0.760969680939	0.795615927041	0.742415875516	0.774036944668
F1W.2.Ce.021	0.859811565111	0.72305562374	0.83597836055	0.701887539359	0.661867703007	0.650123829269	0.723922906997	0.614447993546	0.0	0.648872535981	0.846767461274	0.860984650952	0.780801185184	0.764023019414	0.747091945373	0.828897402151	0.772316859281	0.852998177155	0.831485675055	0.836780821876
F1W.3.Dr.021	0.753846283493	0.632398774446	0.738937882851	0.559689844452	0.558809253878	0.627258413448	0.578593689901	0.639582881441	0.648872535981	0.0	0.714169994382	0.75181562845	0.708093205115	0.678895163656	0.668380691196	0.708691262935	0.685371231045	0.707863288392	0.701935523353	0.713898025672
F2F.3.Ce.022	0.447551457191	0.708439644678	0.455718617887	0.610110600929	0.775636284698	0.747824266018	0.633657855625	0.75958487433	0.846767461274	0.714169994382	0.0	0.399181491225	0.759083504192	0.612877654058	0.652874598195	0.664753695333	0.621268910552	0.612120809478	0.616347685332	0.676579901833
