	F2F.2.Ce.021	F1C.3.Ca.021	F2F.3.Ce.021	F1C.3.Dr.021	F2W.2.Ce.021	F3W.2.Ce.021	F2W.2.Ca.021	F1F.3.Ca.021	F1W.2.Ce.021	F1W.3.Dr.021	F2F.3.Ce.022	F2F.2.Ce.022	F3W.2.Ce.022	F2W.2.Ca.022	F2W.2.Ce.022	F1W.3.Dr.022	F1W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F1C.3.Ca.022
F2F.2.Ce.021	0.0	0.686448921437	0.483765650746	0.64564981208	0.78432868204	0.708732636067	0.625386015786	0.714585081635	0.846895479285	0.739002959873	0.431957508075	0.45211559928	0.755159745971	0.669985026655	0.711133114167	0.761105215741	0.738090538092	0.679553331378	0.7268538166	0.738135358983
F1C.3.Ca.021	0.686448921437	0.0	0.716064640316	0.666937856649	0.731994948346	0.707991943785	0.688540809924	0.689912319235	0.669010399934	0.654335725786	0.727505248438	0.705980560891	0.784643734326	0.711703126128	0.721845342949	0.712077249266	0.713417275308	0.653202031284	0.721799825447	0.765413956869
F2F.3.Ce.021	0.483765650746	0.716064640316	0.0	0.591747912607	0.76199665588	0.729316880781	0.659643112396	0.752675987729	0.829121522115	0.730054428508	0.453086246947	0.511062241889	0.779069065587	0.692252771848	0.750551305708	0.751199157949	0.72413955034	0.687675687296	0.71441377799	0.716803023307
F1C.3.Dr.021	0.64564981208	0.666937856649	0.591747912607	0.0	0.60194415897	0.547359920061	0.538696632282	0.622656967167	0.697038223895	0.545472585387	0.591089939704	0.645896972371	0.695360566292	0.623069534914	0.646450446437	0.656280541193	0.655171854686	0.66952048002	0.672508800944	0.685479727833
F2W.2.Ce.021	0.78432868204	0.731994948346	0.76199665588	0.60194415897	0.0	0.573829797973	0.602260423749	0.552433638101	0.645078257893	0.566479453502	0.769940063112	0.771329902904	0.760559226558	0.721218661441	0.703899105333	0.747755276192	0.708550197436	0.753149273344	0.729917089901	0.727085462364
F3W.2.Ce.021	0.708732636067	0.707991943785	0.729316880781	0.547359920061	0.573829797973	0.0	0.564338917688	0.565528563825	0.629398396278	0.610609973158	0.748738459309	0.757414268687	0.651299335965	0.646891203297	0.583918194002	0.719914481085	0.710838528735	0.756601548067	0.702635442145	0.72549072347
F2W.2.Ca.021	0.625386015786	0.688540809924	0.659643112396	0.538696632282	0.602260423749	0.564338917688	0.0	0.602147591989	0.719514093508	0.56383070549	0.615180507263	0.634081724907	0.684186329442	0.59643391329	0.6081517995	0.681720986196	0.645492564594	0.657165335561	0.630089102125	0.690841932283
F1F.3.Ca.021	0.714585081635	0.689912319235	0.752675987729	0.622656967167	0.552433638101	0.565528563825	0.602147591989	0.0	0.615879250267	0.617861441839	0.767938175358	0.743952490384	0.695783766604	0.691265406682	0.651182676895	0.762323530238	0.753681684804	0.780192743627	0.730846691023	0.762330198069
F1W.2.Ce.021	0.846895479285	0.669010399934	0.829121522115	0.697038223895	0.645078257893	0.629398396278	0.719514093508	0.615879250267	0.0	0.636066987764	0.827923861403	0.852861585548	0.791519622637	0.769520436173	0.739062298061	0.802982826622	0.737515891325	0.830034608739	0.806834439933	0.831567207549
F1W.3.Dr.021	0.739002959873	0.654335725786	0.730054428508	0.545472585387	0.566479453502	0.610609973158	0.56383070549	0.617861441839	0.636066987764	0.0	0.701372420395	0.734202674106	0.700488886641	0.668127001906	0.661900960399	0.670211134342	0.632114103685	0.685333090501	0.680197136071	0.70094144152
F2F.3.Ce.022	0.431957508075	0.727505248438	0.453086246947	0.591089939704	0.769940063112	0.748738459309	0.615180507263	0.767938175358	0.827923861403	0.701372420395	0.0	0.377044665661	0.749959363629	0.599638579229	0.653665249968	0.663144009383	0.605741293119	0.596361939116	0.624281025983	0.690038169826
F2F.2.Ce.022	0.45211559928	0.705980560891	0.511062241889	0.645896972371	0.771329902904	0.757414268687	0.634081724907	0.743952490384	0.852861585548	0.734202674106	0.377044665661	0.0	0.720235274771	0.56475761868	0.6670224809	0.651311029278	0.600509807659	0.617727611766	0.59632527607	0.64708264885
F3W.2.Ce.022	0.755159745971	0.784643734326	0.779069065587	0.695360566292	0.760559226558	0.651299335965	0.684186329442	0.695783766604	0.791519622637	0.700488886641	0.749959363629	0.720235274771	0.0	0.557528984235	0.563827464794	0.589148028754	0.621136045339	0.693266435948	0.613903727498	0.596781569274
F2W.2.Ca.022	0.669985026655	0.711703126128	0.692252771848	0.623069534914	0.721218661441	0.646891203297	0.59643391329	0.691265406682	0.769520436173	0.668127001906	0.599638579229	0.56475761868	0.557528984235	0.0	0.503149065099	0.539797301459	0.523846066605	0.60094051598	0.495440210207	0.563206487529
F2W.2.Ce.022	0.711133114167	0.721845342949	0.750551305708	0.646450446437	0.703899105333	0.583918194002	0.6081517995	0.651182676895	0.739062298061	0.661900960399	0.653665249968	0.6670224809	0.563827464794	0.503149065099	0.0	0.554450589285	0.551951739189	0.592510603914	0.533084614289	0.663837396278
F1W.3.Dr.022	0.761105215741	0.712077249266	0.751199157949	0.656280541193	0.747755276192	0.719914481085	0.681720986196	0.762323530238	0.802982826622	0.670211134342	0.663144009383	0.651311029278	0.589148028754	0.539797301459	0.554450589285	0.0	0.411472909475	0.375631510136	0.385184896632	0.509959241037
F1W.2.Ce.022	0.738090538092	0.713417275308	0.72413955034	0.655171854686	0.708550197436	0.710838528735	0.645492564594	0.753681684804	0.737515891325	0.632114103685	0.605741293119	0.600509807659	0.621136045339	0.523846066605	0.551951739189	0.411472909475	0.0	0.421716906565	0.400052005939	0.479158287333
F1C.3.Dr.022	0.679553331378	0.653202031284	0.687675687296	0.66952048002	0.753149273344	0.756601548067	0.657165335561	0.780192743627	0.830034608739	0.685333090501	0.596361939116	0.617727611766	0.693266435948	0.60094051598	0.592510603914	0.375631510136	0.421716906565	0.0	0.408278241047	0.51093065066
F1F.3.Ca.022	0.7268538166	0.721799825447	0.71441377799	0.672508800944	0.729917089901	0.702635442145	0.630089102125	0.730846691023	0.806834439933	0.680197136071	0.624281025983	0.59632527607	0.613903727498	0.495440210207	0.533084614289	0.385184896632	0.400052005939	0.408278241047	0.0	0.407556473303
F1C.3.Ca.022	0.738135358983	0.765413956869	0.716803023307	0.685479727833	0.727085462364	0.72549072347	0.690841932283	0.762330198069	0.831567207549	0.70094144152	0.690038169826	0.64708264885	0.596781569274	0.563206487529	0.663837396278	0.509959241037	0.479158287333	0.51093065066	0.407556473303	0.0
