	F3W.2.Ce.022	F2F.3.Ce.021	F2W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F2F.2.Ce.021	F2W.2.Ca.022	F3W.2.Ce.021	F2F.2.Ce.022	F1W.2.Ce.022	F1C.3.Dr.021	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.021	F1W.2.Ce.021	F2F.3.Ce.022	F1F.3.Ca.021	F2W.2.Ce.021	F1C.3.Ca.021
F3W.2.Ce.022	0.0	0.808862357476	0.654646459613	0.72081494715	0.756593482891	0.821596724006	0.689060969629	0.762906827539	0.83982988315	0.760677639431	0.796473047247	0.793073916672	0.750625263779	0.766588741312	0.799744143888	0.879047750982	0.767687609128	0.786148060405	0.744083530858
F2F.3.Ce.021	0.808862357476	0.0	0.781833167199	0.751134154872	0.768781605032	0.642575767265	0.760800372296	0.800187529774	0.662958484125	0.777087766139	0.724268481831	0.739679258774	0.847780228446	0.740236806581	0.857851099125	0.944614967971	0.775496675459	0.757399217676	0.824792918281
F2W.2.Ce.022	0.654646459613	0.781833167199	0.0	0.684487305151	0.72439634674	0.80626084588	0.672199918034	0.754562118045	0.819691220611	0.73285195004	0.772679259684	0.76533556096	0.799044790898	0.722819981995	0.808078159949	0.887424594677	0.751736196778	0.781550332246	0.748401409817
F1C.3.Dr.022	0.72081494715	0.751134154872	0.684487305151	0.0	0.67189093843	0.774845927328	0.688251952931	0.78978504345	0.78077721411	0.657194607879	0.743457633054	0.661428489611	0.830475027103	0.766736353119	0.84655060836	0.923710594392	0.785800828835	0.791668548698	0.796973824808
F1F.3.Ca.022	0.756593482891	0.768781605032	0.72439634674	0.67189093843	0.0	0.770090561318	0.703187558784	0.80788943855	0.779949625419	0.659053820454	0.767575546094	0.645718805311	0.849543499972	0.765809022632	0.871309664702	0.936258603718	0.798146346671	0.798263290364	0.828645585564
F2F.2.Ce.021	0.821596724006	0.642575767265	0.80626084588	0.774845927328	0.770090561318	0.0	0.762157566686	0.826626257217	0.604122691652	0.78617975645	0.734429328435	0.746602161839	0.845194289026	0.745258212635	0.872731143771	0.950127915585	0.790940858063	0.801515936445	0.834832761413
F2W.2.Ca.022	0.689060969629	0.760800372296	0.672199918034	0.688251952931	0.703187558784	0.762157566686	0.0	0.719500958642	0.775276650414	0.725372598748	0.766129265134	0.76015137973	0.767083028629	0.723372285006	0.812102026924	0.890367324697	0.749813963575	0.803415411785	0.760045636189
F3W.2.Ce.021	0.762906827539	0.800187529774	0.754562118045	0.78978504345	0.80788943855	0.826626257217	0.719500958642	0.0	0.85497731235	0.778906523768	0.770982342227	0.816073347969	0.746687819027	0.725814708324	0.688833865071	0.877372100442	0.769289770001	0.720391537256	0.674193181336
F2F.2.Ce.022	0.83982988315	0.662958484125	0.819691220611	0.78077721411	0.779949625419	0.604122691652	0.775276650414	0.85497731235	0.0	0.788250600109	0.758618330877	0.768789283815	0.879516274331	0.807347189818	0.907648089682	0.960108433516	0.815112277191	0.828616255736	0.868428940749
F1W.2.Ce.022	0.760677639431	0.777087766139	0.73285195004	0.657194607879	0.659053820454	0.78617975645	0.725372598748	0.778906523768	0.788250600109	0.0	0.782744319465	0.648167294266	0.856256523076	0.774698774239	0.858993194624	0.926452972238	0.790978376958	0.789647172498	0.813561141568
