	F3W.2.Ce.022	F2F.3.Ce.021	F2W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F2F.2.Ce.021	F2W.2.Ca.022	F3W.2.Ce.021	F2F.2.Ce.022	F1W.2.Ce.022	F1C.3.Dr.021	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.021	F1W.2.Ce.021	F2F.3.Ce.022	F1F.3.Ca.021	F2W.2.Ce.021	F1C.3.Ca.021
F3W.2.Ce.022	0.0	0.780255476137	0.598723210406	0.673361571244	0.736600029065	0.791270185023	0.640674441334	0.734601494117	0.76834688218	0.739837467233	0.797945745783	0.771137202394	0.742228220489	0.722041142377	0.780086124946	0.823388731752	0.71610758557	0.7727334102	0.697079857214
F2F.3.Ce.021	0.780255476137	0.0	0.786758045561	0.716193673355	0.753929853318	0.63508443596	0.763655584187	0.764330329307	0.614054684535	0.756022318269	0.722520893999	0.736929262527	0.81747108149	0.725650153189	0.836250828922	0.916068439715	0.769073922498	0.742568614308	0.770344087595
F2W.2.Ce.022	0.598723210406	0.786758045561	0.0	0.67147287701	0.715880439657	0.797842124097	0.639467076992	0.727530532622	0.760759963112	0.717559944501	0.766639361347	0.7624941544	0.761420074832	0.699221683645	0.804201708033	0.835137226246	0.716275022059	0.786058609198	0.711793970285
F1C.3.Dr.022	0.673361571244	0.716193673355	0.67147287701	0.0	0.630550079251	0.737321184638	0.678009915573	0.748343580203	0.733740255368	0.630879123486	0.721202459504	0.62245415044	0.814865633152	0.717728871699	0.810788402191	0.889978574505	0.754765155245	0.760840163283	0.753966661464
F1F.3.Ca.022	0.736600029065	0.753929853318	0.715880439657	0.630550079251	0.0	0.750207540691	0.702226646972	0.785481102556	0.735374624877	0.628107281323	0.748411541732	0.62290853531	0.841991696198	0.750938878099	0.856494161469	0.90981491214	0.788751616978	0.786665537203	0.807083663233
F2F.2.Ce.021	0.791270185023	0.63508443596	0.797842124097	0.737321184638	0.750207540691	0.0	0.75275537197	0.787973906931	0.521180023166	0.77366258577	0.728221057679	0.723567236519	0.82452194402	0.71793758984	0.85742193525	0.922150076778	0.752688536992	0.768969373657	0.779963715013
F2W.2.Ca.022	0.640674441334	0.763655584187	0.639467076992	0.678009915573	0.702226646972	0.75275537197	0.0	0.694191552578	0.728960163803	0.719089347982	0.781314664305	0.754389235958	0.750635105327	0.69519381576	0.79952011781	0.843363000997	0.722519844555	0.797404411561	0.728732305848
F3W.2.Ce.021	0.734601494117	0.764330329307	0.727530532622	0.748343580203	0.785481102556	0.787973906931	0.694191552578	0.0	0.788239305771	0.756632151338	0.756022218829	0.797522893704	0.728417895343	0.706392853359	0.676250763658	0.846941191731	0.744628195181	0.704154260375	0.639610315531
F2F.2.Ce.022	0.76834688218	0.614054684535	0.760759963112	0.733740255368	0.735374624877	0.521180023166	0.728960163803	0.788239305771	0.0	0.73219070498	0.720640230766	0.709796863577	0.83927598223	0.735446812599	0.871562238788	0.921578381985	0.770456516037	0.78626722905	0.794230740939
F1W.2.Ce.022	0.739837467233	0.756022318269	0.717559944501	0.630879123486	0.628107281323	0.77366258577	0.719089347982	0.756632151338	0.73219070498	0.0	0.774952026547	0.60696219906	0.852665546376	0.757156481928	0.85277374897	0.898625974074	0.784994018036	0.782955643828	0.790879232499
