	F2F.2.Ce.021	F1C.3.Ca.021	F2F.3.Ce.021	F1C.3.Dr.021	F2W.2.Ce.021	F3W.2.Ce.021	F2W.2.Ca.021	F1F.3.Ca.021	F1W.2.Ce.021	F1W.3.Dr.021	F2F.3.Ce.022	F2F.2.Ce.022	F3W.2.Ce.022	F2W.2.Ca.022	F2W.2.Ce.022	F1W.3.Dr.022	F1W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F1C.3.Ca.022
F2F.2.Ce.021	0.0	0.45685305187	0.296174729588	0.380795554607	0.420400737118	0.458790823899	0.430070269015	0.419492368293	0.523836042137	0.430307897666	0.252416996706	0.296797119985	0.547706674321	0.460627552783	0.500149113118	0.561823525605	0.545783969657	0.600705737818	0.573094061701	0.600365657268
F1C.3.Ca.021	0.45685305187	0.0	0.349309213016	0.298531175742	0.408087069819	0.313240133204	0.31791783458	0.302219707105	0.358717940108	0.352804478201	0.44435732595	0.450767023076	0.564508771976	0.482477010186	0.566649005318	0.628025903528	0.593143907642	0.659564544595	0.645830067916	0.647894983767
F2F.3.Ce.021	0.296174729588	0.349309213016	0.0	0.277701454279	0.38478877743	0.372159729805	0.304526959221	0.346396755576	0.432504418955	0.344154513692	0.235126185844	0.259414073744	0.514648619719	0.352976537832	0.520245225059	0.580146502612	0.544673875653	0.637092581634	0.589117001579	0.603029401511
F1C.3.Dr.021	0.380795554607	0.298531175742	0.277701454279	0.0	0.324109715465	0.23791839575	0.262123394267	0.241659026211	0.279730913811	0.229172934863	0.382643354128	0.403712877827	0.526803578817	0.429592130645	0.525399855327	0.597759645569	0.568670049656	0.642072980477	0.617003296615	0.616295093557
F2W.2.Ce.021	0.420400737118	0.408087069819	0.38478877743	0.324109715465	0.0	0.265396567868	0.2957979034	0.211567016409	0.305687033069	0.253468871753	0.451318871192	0.472890302526	0.542113057069	0.523966284782	0.479576626378	0.574422672467	0.562414430756	0.613224317237	0.576294537924	0.597253421862
F3W.2.Ce.021	0.458790823899	0.313240133204	0.372159729805	0.23791839575	0.265396567868	0.0	0.21027827063	0.159322105021	0.226274415443	0.209083774716	0.486599596559	0.505243729305	0.517277026858	0.492053124821	0.510190267056	0.591735084903	0.567319674831	0.641352795561	0.604464894197	0.62112530059
F2W.2.Ca.021	0.430070269015	0.31791783458	0.304526959221	0.262123394267	0.2957979034	0.21027827063	0.0	0.216774939083	0.284368578176	0.220995206737	0.418570539084	0.426611261601	0.475995009353	0.389229149783	0.510165977749	0.563392788824	0.52548032296	0.649908880904	0.589742910598	0.597205972232
F1F.3.Ca.021	0.419492368293	0.302219707105	0.346396755576	0.241659026211	0.211567016409	0.159322105021	0.216774939083	0.0	0.234330103704	0.229426046021	0.431934132269	0.449679530907	0.502277203303	0.483109850105	0.480830596195	0.57960927129	0.568062901441	0.615194317305	0.57992568343	0.596649278113
F1W.2.Ce.021	0.523836042137	0.358717940108	0.432504418955	0.279730913811	0.305687033069	0.226274415443	0.284368578176	0.234330103704	0.0	0.226225508824	0.536687953108	0.551199300004	0.598805950977	0.556055141141	0.604663697354	0.669589131619	0.637429617871	0.710703989356	0.690355950806	0.693398357802
F1W.3.Dr.021	0.430307897666	0.352804478201	0.344154513692	0.229172934863	0.253468871753	0.209083774716	0.220995206737	0.229426046021	0.226225508824	0.0	0.446212273841	0.473225659835	0.506326696741	0.468081703328	0.535815477097	0.584637522069	0.543841220488	0.637882767526	0.60908911246	0.612469136887
