	F2F.2.Ce.021	F1C.3.Ca.021	F2F.3.Ce.021	F1C.3.Dr.021	F2W.2.Ce.021	F3W.2.Ce.021	F2W.2.Ca.021	F1F.3.Ca.021	F1W.2.Ce.021	F1W.3.Dr.021	F2F.3.Ce.022	F2F.2.Ce.022	F3W.2.Ce.022	F2W.2.Ca.022	F2W.2.Ce.022	F1W.3.Dr.022	F1W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F1C.3.Ca.022
F2F.2.Ce.021	0.0	0.470164782603	0.303900356331	0.399719525232	0.444629398694	0.467549705711	0.441806214103	0.428453369134	0.516429760198	0.427404351804	0.280386923061	0.320091778739	0.546606873219	0.48107247313	0.494595098639	0.557062970658	0.546057360338	0.592710495567	0.567719331392	0.598832621514
F1C.3.Ca.021	0.470164782603	0.0	0.342517386167	0.277188894386	0.416452579606	0.311976728887	0.324538289215	0.315554317967	0.338134242001	0.336982850252	0.442764119729	0.446575234315	0.565098350334	0.467211459624	0.572982561702	0.636811274044	0.608551895129	0.674398594093	0.657364030349	0.666230881064
F2F.3.Ce.021	0.303900356331	0.342517386167	0.0	0.276273406377	0.39235516639	0.358101834264	0.299132916891	0.349121068144	0.414701105396	0.326947988783	0.234459484049	0.256774609576	0.513309928801	0.359607638166	0.523010425967	0.580194368904	0.55253402769	0.633177011824	0.594380869851	0.614901883172
F1C.3.Dr.021	0.399719525232	0.277188894386	0.276273406377	0.0	0.323970769893	0.23776031364	0.266081883648	0.243682663592	0.272978916853	0.217942046726	0.396902444047	0.41632110645	0.532860741363	0.433025780895	0.533656699829	0.605382963721	0.576905303995	0.65373086021	0.622047120659	0.630398650205
F2W.2.Ce.021	0.444629398694	0.416452579606	0.39235516639	0.323970769893	0.0	0.27895354603	0.316095048638	0.206305555493	0.304657451174	0.289137984347	0.473718979957	0.495106443503	0.561899058928	0.542575951133	0.505942996592	0.598690831239	0.576426358027	0.63677859032	0.59452239506	0.63015099495
F3W.2.Ce.021	0.467549705711	0.311976728887	0.358101834264	0.23776031364	0.27895354603	0.0	0.211178359874	0.183786251624	0.210294708695	0.245399137274	0.480230184408	0.495875241734	0.52028103879	0.489579627474	0.514407876119	0.597535892472	0.565829557343	0.649145980829	0.60758395212	0.632977521554
F2W.2.Ca.021	0.441806214103	0.324538289215	0.299132916891	0.266081883648	0.316095048638	0.211178359874	0.0	0.224238199571	0.269728791236	0.235121737706	0.415985694549	0.420429651693	0.48465506889	0.396485693244	0.522287588464	0.569675701546	0.538945321356	0.646927153941	0.596174457103	0.610687190106
F1F.3.Ca.021	0.428453369134	0.315554317967	0.349121068144	0.243682663592	0.206305555493	0.183786251624	0.224238199571	0.0	0.21888934704	0.26512758654	0.438013659922	0.452807069496	0.502548847998	0.489900102739	0.484392058437	0.582637997324	0.57025830085	0.622727649562	0.579930485785	0.607726767681
F1W.2.Ce.021	0.516429760198	0.338134242001	0.414701105396	0.272978916853	0.304657451174	0.210294708695	0.269728791236	0.21888934704	0.0	0.232141112979	0.528099961987	0.54096539785	0.586029011798	0.546833681001	0.597253468004	0.656461064178	0.623069746905	0.701775238698	0.67800398505	0.689935305604
F1W.3.Dr.021	0.427404351804	0.336982850252	0.326947988783	0.217942046726	0.289137984347	0.245399137274	0.235121737706	0.26512758654	0.232141112979	0.0	0.439342953604	0.465424132167	0.504726631308	0.455908528753	0.539548266925	0.587910870852	0.547309216495	0.648486079286	0.614887502904	0.620439045549
F2F.3.Ce.022	0.280386923061	0.442764119729	0.234459484049	0.396902444047	0.473718979957	0.480230184408	0.415985694549	0.438013659922	0.528099961987	0.439342953604	0.0	0.113258248214	0.466564441043	0.365242513806	0.476425319795	0.560923087186	0.548942926065	0.619009168231	0.586057951824	0.604763585144
F2F.2.Ce.022	0.320091778739	0.446575234315	0.256774609576	0.41632110645	0.495106443503	0.495875241734	0.420429651693	0.452807069496	0.54096539785	0.465424132167	0.113258248214	0.0	0.492040957895	0.363880057093	0.509482319596	0.550709197338	0.536564408347	0.606939614468	0.574799430795	0.591260552384
F3W.2.Ce.022	0.546606873219	0.565098350334	0.513309928801	0.532860741363	0.561899058928	0.52028103879	0.48465506889	0.502548847998	0.586029011798	0.504726631308	0.466564441043	0.492040957895	0.0	0.299383880316	0.399761825231	0.488103694734	0.422154520581	0.633509165273	0.551308254509	0.522343757275
F2W.2.Ca.022	0.48107247313	0.467211459624	0.359607638166	0.433025780895	0.542575951133	0.489579627474	0.396485693244	0.489900102739	0.546833681001	0.455908528753	0.365242513806	0.363880057093	0.299383880316	0.0	0.47508127039	0.516234612235	0.428534790143	0.65788870174	0.575278689949	0.564789392341
F2W.2.Ce.022	0.494595098639	0.572982561702	0.523010425967	0.533656699829	0.505942996592	0.514407876119	0.522287588464	0.484392058437	0.597253468004	0.539548266925	0.476425319795	0.509482319596	0.399761825231	0.47508127039	0.0	0.209076823327	0.269096028725	0.305676726513	0.225419310511	0.239569904938
F1W.3.Dr.022	0.557062970658	0.636811274044	0.580194368904	0.605382963721	0.598690831239	0.597535892472	0.569675701546	0.582637997324	0.656461064178	0.587910870852	0.560923087186	0.550709197338	0.488103694734	0.516234612235	0.209076823327	0.0	0.157155263669	0.174863449455	0.203525413158	0.112393620573
F1W.2.Ce.022	0.546057360338	0.608551895129	0.55253402769	0.576905303995	0.576426358027	0.565829557343	0.538945321356	0.57025830085	0.623069746905	0.547309216495	0.548942926065	0.536564408347	0.422154520581	0.428534790143	0.269096028725	0.157155263669	0.0	0.276997923182	0.269853115924	0.206278523785
F1C.3.Dr.022	0.592710495567	0.674398594093	0.633177011824	0.65373086021	0.63677859032	0.649145980829	0.646927153941	0.622727649562	0.701775238698	0.648486079286	0.619009168231	0.606939614468	0.633509165273	0.65788870174	0.305676726513	0.174863449455	0.276997923182	0.0	0.150996200913	0.207986534627
