	F3W.2.Ce.022	F2F.3.Ce.021	F2W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F2F.2.Ce.021	F2W.2.Ca.022	F3W.2.Ce.021	F2F.2.Ce.022	F1W.2.Ce.022	F1C.3.Dr.021	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.021	F1W.2.Ce.021	F2F.3.Ce.022	F1F.3.Ca.021	F2W.2.Ce.021	F1C.3.Ca.021
F3W.2.Ce.022	0.0	0.487387638	0.359050926	0.36878259	0.399990566	0.518994742	0.230271924	0.509709478	0.525959412	0.3996577	0.488057888	0.434263738	0.548575262	0.498940226	0.604633124	0.480211296	0.4835086	0.544627854	0.685612894
F2F.3.Ce.021	0.487387638	0.0	0.458332028	0.455473996	0.483246972	0.26237758	0.386325186	0.36226066	0.262372734	0.48332027	0.378342518	0.476033148	0.45358006	0.328430572	0.49848095	0.52524601	0.474819138	0.374156744	0.563402664
F2W.2.Ce.022	0.359050926	0.458332028	0.0	0.20954114	0.228424672	0.437879624	0.317252502	0.46116386	0.479011414	0.247115394	0.431388318	0.295145324	0.493105104	0.425413728	0.564916734	0.429977474	0.32663949	0.516710168	0.639546424
F1C.3.Dr.022	0.36878259	0.455473996	0.20954114	0.0	0.181350492	0.462733688	0.35266169	0.45380654	0.476060994	0.166081806	0.444606762	0.216034036	0.48871812	0.451106864	0.552927042	0.448408678	0.388918086	0.48943334	0.629583004
F1F.3.Ca.022	0.399990566	0.483246972	0.228424672	0.181350492	0.0	0.469672852	0.386103734	0.50931056	0.49520201	0.163046142	0.496551102	0.175541652	0.554267816	0.502191404	0.609676462	0.509595522	0.394494386	0.530513096	0.691989076
F2F.2.Ce.021	0.518994742	0.26237758	0.437879624	0.462733688	0.469672852	0.0	0.388182106	0.425584524	0.251198406	0.483808962	0.399100426	0.488872868	0.389157248	0.417748356	0.589668366	0.53228365	0.466273518	0.471229968	0.640930744
F2W.2.Ca.022	0.230271924	0.386325186	0.317252502	0.35266169	0.386103734	0.388182106	0.0	0.44244939	0.409854412	0.388364484	0.419257572	0.424618786	0.489764006	0.408832098	0.571630816	0.475244884	0.447436504	0.509642402	0.62672241
F3W.2.Ce.021	0.509709478	0.36226066	0.46116386	0.45380654	0.50931056	0.425584524	0.44244939	0.0	0.468861866	0.492720418	0.46417165	0.535362076	0.410900492	0.260781124	0.288985378	0.486617746	0.531695158	0.298743868	0.365933296
F2F.2.Ce.022	0.525959412	0.262372734	0.479011414	0.476060994	0.49520201	0.251198406	0.409854412	0.468861866	0.0	0.499292872	0.391097908	0.492717338	0.522105022	0.428730002	0.608888704	0.541971848	0.512969756	0.455383926	0.669332622
F1W.2.Ce.022	0.3996577	0.48332027	0.247115394	0.166081806	0.163046142	0.483808962	0.388364484	0.492720418	0.499292872	0.0	0.504265008	0.16300577	0.536223426	0.49927651	0.596670952	0.51067898	0.433084416	0.52146401	0.674243522
F1C.3.Dr.021	0.488057888	0.378342518	0.431388318	0.444606762	0.496551102	0.399100426	0.419257572	0.46417165	0.391097908	0.504265008	0.0	0.490892106	0.497891114	0.369375078	0.555948296	0.446062648	0.484743448	0.408446066	0.61688201
F1W.3.Dr.022	0.434263738	0.476033148	0.295145324	0.216034036	0.175541652	0.488872868	0.424618786	0.535362076	0.492717338	0.16300577	0.490892106	0.0	0.592580788	0.517049804	0.657231378	0.54109793	0.460547938	0.53220046	0.727601276
F1W.3.Dr.021	0.548575262	0.45358006	0.493105104	0.48871812	0.554267816	0.389157248	0.489764006	0.410900492	0.522105022	0.536223426	0.497891114	0.592580788	0.0	0.46354706	0.525375694	0.493496026	0.537654582	0.494852968	0.596114792
F2W.2.Ca.021	0.498940226	0.328430572	0.425413728	0.451106864	0.502191404	0.417748356	0.408832098	0.260781124	0.428730002	0.49927651	0.369375078	0.517049804	0.46354706	0.0	0.355696082	0.473219542	0.477036814	0.31069714	0.415191
F1W.2.Ce.021	0.604633124	0.49848095	0.564916734	0.552927042	0.609676462	0.589668366	0.571630816	0.288985378	0.608888704	0.596670952	0.555948296	0.657231378	0.525375694	0.355696082	0.0	0.508022888	0.605138812	0.39557631	0.18840443
F2F.3.Ce.022	0.480211296	0.52524601	0.429977474	0.448408678	0.509595522	0.53228365	0.475244884	0.486617746	0.541971848	0.51067898	0.446062648	0.54109793	0.493496026	0.473219542	0.508022888	0.0	0.479721632	0.48827455	0.589465618
F1F.3.Ca.021	0.4835086	0.474819138	0.32663949	0.388918086	0.394494386	0.466273518	0.447436504	0.531695158	0.512969756	0.433084416	0.484743448	0.460547938	0.537654582	0.477036814	0.605138812	0.479721632	0.0	0.556962538	0.67472001
F2W.2.Ce.021	0.544627854	0.374156744	0.516710168	0.48943334	0.530513096	0.471229968	0.509642402	0.298743868	0.455383926	0.52146401	0.408446066	0.53220046	0.494852968	0.31069714	0.39557631	0.48827455	0.556962538	0.0	0.46575974
F1C.3.Ca.021	0.685612894	0.563402664	0.639546424	0.629583004	0.691989076	0.640930744	0.62672241	0.365933296	0.669332622	0.674243522	0.61688201	0.727601276	0.596114792	0.415191	0.18840443	0.589465618	0.67472001	0.46575974	0.0
