	F3W.2.Ce.022	F2F.3.Ce.021	F2W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F2F.2.Ce.021	F2W.2.Ca.022	F3W.2.Ce.021	F2F.2.Ce.022	F1W.2.Ce.022	F1C.3.Dr.021	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.021	F1W.2.Ce.021	F2F.3.Ce.022	F1F.3.Ca.021	F2W.2.Ce.021	F1C.3.Ca.021
F3W.2.Ce.022	0.0	0.50041507824	0.362039855329	0.356271786242	0.394152984942	0.52290530558	0.229787369353	0.508408931208	0.518592781222	0.406969875996	0.497925453203	0.422082125775	0.557242607027	0.49855280189	0.610294511367	0.47476529377	0.47365380868	0.544464396221	0.696472545025
F2F.3.Ce.021	0.50041507824	0.0	0.466682692648	0.458045506348	0.48709895778	0.295850345438	0.396313318571	0.355179887806	0.271785314438	0.492796764098	0.401525202244	0.480144496605	0.474690900502	0.326495851786	0.510482852081	0.532598712725	0.487370693829	0.378831166224	0.581926135223
F2W.2.Ce.022	0.362039855329	0.466682692648	0.0	0.207913348096	0.229126539711	0.431828438146	0.32926487452	0.446027971656	0.460579610275	0.246731963389	0.437133398288	0.300764183643	0.488771195748	0.429563374668	0.559732996752	0.416092252731	0.310835949218	0.504471290227	0.637487729554
F1C.3.Dr.022	0.356271786242	0.458045506348	0.207913348096	0.0	0.18350130499	0.450747797461	0.336037998229	0.447285169767	0.450063427812	0.169680575731	0.451960410393	0.219435033953	0.49388662238	0.449432447594	0.559383675819	0.443767939179	0.37494195158	0.484876908769	0.636509663419
F1F.3.Ca.022	0.394152984942	0.48709895778	0.229126539711	0.18350130499	0.0	0.456701266608	0.385550221435	0.503129226454	0.471897481547	0.15810360496	0.501383870682	0.176828255093	0.555620664305	0.499157266017	0.6120376646	0.502877782699	0.384400469442	0.524533041039	0.69694698258
F2F.2.Ce.021	0.52290530558	0.295850345438	0.431828438146	0.450747797461	0.456701266608	0.0	0.390730655447	0.422288201949	0.247898653676	0.470448379097	0.417932471213	0.481347519929	0.368396911721	0.421401945675	0.589661104222	0.523817620313	0.47218209625	0.473918021848	0.649517478595
F2W.2.Ca.022	0.229787369353	0.396313318571	0.32926487452	0.336037998229	0.385550221435	0.390730655447	0.0	0.429224974904	0.396085429584	0.397109911426	0.431146043696	0.411560779451	0.489748594627	0.413586708001	0.571094133451	0.471917729554	0.453548364334	0.502071907293	0.635694316504
F3W.2.Ce.021	0.508408931208	0.355179887806	0.446027971656	0.447285169767	0.503129226454	0.422288201949	0.429224974904	0.0	0.453823153233	0.489735943313	0.472285875406	0.521989379982	0.433540555063	0.255346226749	0.301308160614	0.483418039563	0.518788432241	0.282586164748	0.391542102155
F2F.2.Ce.022	0.518592781222	0.271785314438	0.460579610275	0.450063427812	0.471897481547	0.247898653676	0.396085429584	0.453823153233	0.0	0.472685627399	0.40928808385	0.473801431946	0.514393144376	0.425468175376	0.613833912017	0.533350103336	0.501990386773	0.468737750221	0.679901801004
F1W.2.Ce.022	0.406969875996	0.492796764098	0.246731963389	0.169680575731	0.15810360496	0.470448379097	0.397109911426	0.489735943313	0.472685627399	0.0	0.511176958961	0.162216660762	0.536774596988	0.497060422203	0.605680696782	0.505887871273	0.414808225568	0.518926578093	0.682181263655
F1C.3.Dr.021	0.497925453203	0.401525202244	0.437133398288	0.451960410393	0.501383870682	0.417932471213	0.431146043696	0.472285875406	0.40928808385	0.511176958961	0.0	0.496924856805	0.519803985828	0.391409368172	0.577406105698	0.458190699734	0.497345491585	0.429679385887	0.644459870092
F1W.3.Dr.022	0.422082125775	0.480144496605	0.300764183643	0.219435033953	0.176828255093	0.481347519929	0.411560779451	0.521989379982	0.473801431946	0.162216660762	0.496924856805	0.0	0.588510773546	0.50866635961	0.657570808975	0.53554955713	0.45059043106	0.529735249483	0.731514233835
F1W.3.Dr.021	0.557242607027	0.474690900502	0.488771195748	0.49388662238	0.555620664305	0.368396911721	0.489748594627	0.433540555063	0.514393144376	0.536774596988	0.519803985828	0.588510773546	0.0	0.480236678477	0.532368727487	0.4913791615	0.538888638913	0.497026566283	0.612219084736
F2W.2.Ca.021	0.49855280189	0.326495851786	0.429563374668	0.449432447594	0.499157266017	0.421401945675	0.413586708001	0.255346226749	0.425468175376	0.497060422203	0.391409368172	0.50866635961	0.480236678477	0.0	0.358079914379	0.471085470918	0.47722663419	0.298147708887	0.432926356658
F1W.2.Ce.021	0.610294511367	0.510482852081	0.559732996752	0.559383675819	0.6120376646	0.589661104222	0.571094133451	0.301308160614	0.613833912017	0.605680696782	0.577406105698	0.657570808975	0.532368727487	0.358079914379	0.0	0.503975417774	0.600579899616	0.388945048716	0.190823064659
F2F.3.Ce.022	0.47476529377	0.532598712725	0.416092252731	0.443767939179	0.502877782699	0.523817620313	0.471917729554	0.483418039563	0.533350103336	0.505887871273	0.458190699734	0.53554955713	0.4913791615	0.471085470918	0.503975417774	0.0	0.466267038677	0.482210292294	0.59341917331
F1F.3.Ca.021	0.47365380868	0.487370693829	0.310835949218	0.37494195158	0.384400469442	0.47218209625	0.453548364334	0.518788432241	0.501990386773	0.414808225568	0.497345491585	0.45059043106	0.538888638913	0.47722663419	0.600579899616	0.466267038677	0.0	0.554567995276	0.680601842338
F2W.2.Ce.021	0.544464396221	0.378831166224	0.504471290227	0.484876908769	0.524533041039	0.473918021848	0.502071907293	0.282586164748	0.468737750221	0.518926578093	0.429679385887	0.529735249483	0.497026566283	0.298147708887	0.388945048716	0.482210292294	0.554567995276	0.0	0.467106271036
