	F3W.2.Ce.022	F2F.3.Ce.021	F2W.2.Ce.022	F1C.3.Dr.022	F1F.3.Ca.022	F2F.2.Ce.021	F2W.2.Ca.022	F3W.2.Ce.021	F2F.2.Ce.022	F1W.2.Ce.022	F1C.3.Dr.021	F1W.3.Dr.022	F1W.3.Dr.021	F2W.2.Ca.021	F1W.2.Ce.021	F2F.3.Ce.022	F1F.3.Ca.021	F2W.2.Ce.021	F1C.3.Ca.021
F3W.2.Ce.022	0.0	0.493350939964	0.361318095816	0.356583847787	0.403770218314	0.518298126137	0.223057268041	0.508767874469	0.504170266828	0.412405391146	0.496865570042	0.425370145543	0.556922101274	0.497472956337	0.609763674955	0.481921967859	0.470516061249	0.538851710127	0.700928150394
F2F.3.Ce.021	0.493350939964	0.0	0.454690260764	0.456866576713	0.486468010916	0.283362462098	0.382208359612	0.342844569436	0.29009430564	0.478673856883	0.405875842935	0.48593978775	0.451754981807	0.316904436022	0.480968562765	0.531252046695	0.462991937538	0.363682734991	0.563219429958
F2W.2.Ce.022	0.361318095816	0.454690260764	0.0	0.21140715282	0.241442983626	0.436511976956	0.321783114008	0.464723768951	0.449304075197	0.25477970285	0.443281876895	0.30915215282	0.491821112796	0.430218717404	0.563142019406	0.428927722862	0.317815503335	0.518185269861	0.648972747119
F1C.3.Dr.022	0.356583847787	0.456866576713	0.21140715282	0.0	0.188958292905	0.465120391146	0.345160133414	0.45976961795	0.459454035779	0.164840839903	0.460163674955	0.21295702547	0.498112862341	0.455267780473	0.563707437841	0.448652929048	0.3892905094	0.486269578532	0.648774860522
F1F.3.Ca.022	0.403770218314	0.486468010916	0.241442983626	0.188958292905	0.0	0.479024808975	0.392937231656	0.519807801698	0.490480557914	0.167175858096	0.509006218921	0.173154184354	0.569385145543	0.514223829594	0.629634930261	0.523179499697	0.403191361431	0.536899357186	0.71715228017
F2F.2.Ce.021	0.518298126137	0.283362462098	0.436511976956	0.465120391146	0.479024808975	0.0	0.394507965434	0.425266255306	0.252008077623	0.481476312917	0.42389327168	0.498947125531	0.355265648878	0.420059396604	0.585474196483	0.531035806549	0.4559944906	0.481080321407	0.654803050334
F2W.2.Ca.022	0.223057268041	0.382208359612	0.321783114008	0.345160133414	0.392937231656	0.394507965434	0.0	0.43865215282	0.390004727107	0.396644605822	0.430930163736	0.414977844148	0.491842607641	0.419419011522	0.575065612492	0.475699909036	0.443583026076	0.502770288053	0.647643344451
F3W.2.Ce.021	0.508767874469	0.342844569436	0.464723768951	0.45976961795	0.519807801698	0.425266255306	0.43865215282	0.0	0.447680627653	0.494644805943	0.47407616131	0.520789906004	0.43704219527	0.255151115828	0.296015612492	0.491216058217	0.522254978775	0.292754714979	0.392430888417
F2F.2.Ce.022	0.504170266828	0.29009430564	0.449304075197	0.459454035779	0.490480557914	0.252008077623	0.390004727107	0.447680627653	0.0	0.484871194663	0.396685333535	0.486833268648	0.493166419042	0.430925442693	0.606760024257	0.518900433596	0.484433520315	0.459433856883	0.684387119466
F1W.2.Ce.022	0.412405391146	0.478673856883	0.25477970285	0.164840839903	0.167175858096	0.481476312917	0.396644605822	0.494644805943	0.484871194663	0.0	0.51867133111	0.160719308672	0.537915206186	0.499796079442	0.607632371134	0.514451240146	0.430868377805	0.518546228017	0.689723117041
